creationDate|tweetText|likes|retweets
2015-11-02 21:16:04|LIVE: President Obama is speaking about the re-entry process of formerly incarcerated individuals. https://t.co/2RfSaJJ0hx|800|358
2015-11-02 20:30:01|Tune in at 4:20 p.m. ET to watch President Obama speak on rehabilitation and reintegration: https://t.co/X1CmRvumbO #CriminalJusticeReform|728|323
2015-11-02 18:42:35|Here's what happened when 35 passionate student organizers came together to learn how to improve their impact: https://t.co/3wRfGGGMQE|777|304
2015-11-02 16:48:39|Under #Obamacare, the uninsured rate in the United States is at the lowest level on record. https://t.co/JclMvADTnN|1296|507
2015-11-01 21:56:28|Nearly 8 in 10 uninsured Americans may be eligible for financial help. Check out your options: https://t.co/mJtVbt1ba5 #GetReadyGetCovered|895|419
2015-11-01 21:04:20|Open enrollment is back: https://t.co/DCGSKXPVzi #GetReadyGetCovered https://t.co/zACudz9e7c|781|354
2015-11-01 20:04:19|"Post Halloween checklist:

Coffee: ✓
Brunch: ✓
Health insurance: https://t.co/vD8uoA1Qis
#GetReadyGetCovered"|1162|432
2015-11-01 18:44:04|The health care marketplace is open again. Check out your options now: https://t.co/osU8GUFSIu #GetCovered|720|318
2015-11-01 17:19:02|Don't miss your chance to #GetCovered: https://t.co/pOS2uGg8f9 https://t.co/J24jqQZ2qm|947|431
2015-10-31 23:01:31|Trick-or-treat? #HappyHalloween https://t.co/0T8yc2vYyk|7621|2996
2015-10-31 21:56:27|Make sure you #GetCovered tomorrow—before you eat too much Halloween candy. https://t.co/h5gKMcxpS4|1112|466
2015-10-31 18:27:27|"""Every year, we spend $80 billion in taxpayer dollars to keep people incarcerated."" —President Obama https://t.co/uQZOaQtJUM"|1652|945
2015-10-31 16:45:31|In the weekly address, President Obama calls for meaningful criminal justice reform: https://t.co/uQZOaQtJUM|950|384
2015-10-30 22:42:56|Don't miss it. #GetCovered https://t.co/gMIOgP4ukJ|851|420
2015-10-30 21:23:29|Watch as President Obama and @FLOTUS welcome children to trick-or-treat at the White House: https://t.co/SXmz119b8h https://t.co/EgX7iptsd3|2647|872
2015-10-30 19:40:38|Passionate student organizers came together at @OFA's Campus Organizing Summit. Find out more: https://t.co/OZN4MovTxo|628|197
2015-10-30 17:37:20|DYK: Under #Obamacare, millions of young adults are able to remain on their parents' plans until they turn 26. https://t.co/KrkFcb9KsH|2129|734
2015-10-30 16:26:43|"""I applaud the Democrats and Republicans who came together this morning to pass a responsible, long-term budget agreement."" —President Obama"|2654|804
2015-10-29 21:45:32|Spread the word: There are nearly 10.5 million uninsured Americans who may be eligible to #GetCovered in 2016. https://t.co/2X9XiLsgVR|1263|721
2015-10-29 19:49:48|Read @ShaunOMB's op-ed on how science and data are helping the U.S. focus on the long-term costs of climate change: https://t.co/324sszQ7BZ|638|261
2015-10-29 17:31:38|Big polluters and climate change deniers are standing in the way of progress—fight back: https://t.co/Suca7L4Qer https://t.co/UeLwhEwg4Q|1559|761
2015-10-29 15:36:14|17.6 million Americans have gained coverage under #Obamacare—that’s a BFD. https://t.co/BrSkDAvLsn|3064|1282
2015-10-28 22:40:22|"RT @WhiteHouse: The bipartisan budget agreement is a major step forward for our economy.
Get the details → https://t.co/B9dxCWuNTY https://…"|0|271
2015-10-28 22:00:12|Don't let climate change deniers have the final say on the Clean Power Plan—show your support: https://t.co/WonJQaG13f #ActOnClimate|1627|772
2015-10-28 19:03:22|Open enrollment is right around the corner. #GetCovered https://t.co/PmRZg0SywP|816|381
2015-10-28 17:33:08|If you want cleaner air and improved public health, add your name: https://t.co/7ke9LaRf8m #ActOnClimate https://t.co/ZsMTAf46Wz|1245|609
2015-10-28 15:44:06|America's mayors are calling for Congress to #DoSomething about gun violence. https://t.co/tijFKUT4lI|1163|533
2015-10-28 00:35:08|"RT @WhiteHouse: ""More guns on the streets do not make you or your community safer."" —@POTUS #StopGunViolence https://t.co/oYpkYCprBy"|0|1459
2015-10-27 23:30:35|Retweet to spread the word. #GetCovered https://t.co/QiV7Qghp6G|1063|1119
2015-10-27 19:16:30|LIVE: President Obama is speaking at the International Association of Chiefs of Police Conference and Exposition. https://t.co/969i88k6al|672|280
2015-10-27 18:06:13|At 3 p.m. ET, watch President Obama address the International Association of Chiefs of Police in Chicago: https://t.co/xI0ioAPPol|604|250
2015-10-27 16:04:34|"RT @ussoccer_wnt: ""This team taught all of America's children that playing like a girl means being a badass"" - President @BarackObama. http…"|0|6532
2015-10-27 15:27:07|LIVE: President Obama is welcoming the @ussoccer_wnt to celebrate their World Cup victory. https://t.co/BEInPfugzi #SheBelieves|875|277
2015-10-26 20:45:57|"RT @FactsOnClimate: In 2030, the #CleanPowerPlan will PREVENT:
300,000 missed work days and school days.
1,700 non-fatal heart attacks. htt…"|0|280
2015-10-26 16:27:42|New federal limits on methane pollution will help make our air cleaner. Show your support: https://t.co/x1MOB932DC #ActOnClimate|1264|520
2015-10-24 17:58:21|"""We've led by example, generating more clean energy and lowering our carbon emissions."" —President Obama https://t.co/z03D6bfY5M"|1996|772
2015-10-23 15:30:25|This is why the Clean Power Plan matters. #ActOnClimate https://t.co/XrqJz4p7EK|2149|1118
2015-10-22 18:34:27|LIVE: President Obama is hosting a panel at the White House on criminal justice reform. https://t.co/mAtffm9LmG|1028|438
2015-10-22 16:14:53|Organizers in New Mexico are working to make sure people in their communities have affordable care. Read how: https://t.co/ImbJsmYtE6|937|319
2015-10-21 18:45:52|LIVE: President Obama is in West Virginia hosting a community discussion on drug abuse. https://t.co/qmZGAfdf39|1081|396
2015-10-21 17:44:50|Tune in at 2:20 p.m. ET to watch President Obama host a community forum on drug abuse. https://t.co/LE1r2GrOF1|774|309
2015-10-20 22:43:19|RT @WhiteHouse: What's it like to call space? Watch @POTUS call the astronauts on the @Space_Station. #AstronomyNight https://t.co/cgQIoOb2…|0|1108
2015-10-20 21:20:46|A new poll shows that a majority of Americans want common-sense laws on gun sales: https://t.co/0e2OTdy6EV #DoSomething|1644|813
2015-10-20 19:04:33|Action on climate change can't wait—which is why the Clean Power Plan is so important. https://t.co/pOTxkVudYu|1801|1387
2015-10-20 17:11:58|"RT @FactsOnClimate: Under @POTUS, we're mobilizing the world to #ActOnClimate.
There's never been more momentum. https://t.co/GYTa3SPwyk ht…"|0|330
2015-10-20 14:58:25|Eighty-one companies support a global agreement to #ActOnClimate: https://t.co/kPKOq6Iild|754|331
2015-10-19 21:32:28|"RT @FLOTUS: ""The goal of #BetterMakeRoom is to get young people to, and through, higher education."" —The First Lady: https://t.co/OiCUKcmjUO"|0|1208
2015-10-19 19:17:20|ICYMI: Yesterday marked the official adoption of the #IranDeal: https://t.co/n0gXndpLlt|834|321
